SiteName,Site,HorizonsLocation,Elondeg,Latdeg,Altkm,Sources
EZ7 Melas Chasma,EZ7MelasChasma,,-290,-11.7,-5,"EZ: proposed Exploration Zones from the 2015 HLS2 workshop. Altitude data, where not provided, are estimated from MOLA imagery."
EZ8 Gusev Crater Spirit,EZ8GusevCraterSpirit,,-175.4,-14.5,-1.5,"EZ: proposed Exploration Zones from the 2015 HLS2 workshop. Altitude data, where not provided, are estimated from MOLA imagery."
EZ9 Mawrth Vallis,EZ9MawrthVallis,,-340.8,24.3,-2,"EZ: proposed Exploration Zones from the 2015 HLS2 workshop. Altitude data, where not provided, are estimated from MOLA imagery."
H Curiosity,HCuriosity,Curiosity Landing Site (MSL) / Gale Crater @499,-137.4,-4.4999116,-4.406561,H: Landing site. Horizons
H Mars2,HMars2,Mars 2 @ 499,-46.8,-44.16603,-0.160737,H: Crash site. Horizons
H Mars3,HMars3,Mars 3 @ 499,-168,-44.966121,-0.190831,H: Crash site. Horizons
H Opportunity,HOpportunity,Opportunity Landing Site (MER) / Terra Meridiani @499,-354.4667,-1.9500346,2.0005494,H: Landing site. Horizons
H Pathfinder,HPathfinder,Mars Pathfinder (MPF) @ 499,-326.45,19.3087423,0.5856201,H: Landing site. Horizons
H Phoenix,HPhoenix,Phoenix Landing Site (PHX) / Vastitas Borealis @499,-234.2508,68.4510191,-1.006323,H: Landing site. Horizons
H Spirit,HSpirit,Spirit Landing Site (MER) / Gusev @499,-175.4833,-14.566677,-0.006676,H: Landing site. Horizons
H Viking1,HViking1,Viking 1 / Chryse @499,-312.032,22.4590447,0.5134068,H: Landing site. Horizons
H Viking2,HViking2,Viking 2 / Utopia Planitia @499,-134.264,47.9320531,-0.294424,H: Landing site. Horizons
H Beagle2,HBeagle2,,-90.4295,11.5265,-4,"H: Crash site. Mars24 programme. Altitude data, where not provided, are estimated from MOLA imagery"
H ExoMars 2016,HExoMars2016,,-353.79,-2.07,-2,"H: Crash site. Mars24 programme.  Altitude data, where not provided, are estimated from MOLA imagery"
H ExoMars 2022,HExoMars2022,,-335.45,18.2,-2,"H: Planned site. Mars24 programme. Altitude data, where not provided, are estimated from MOLA imagery"
H InSight,HInSight,,-135.623447,4.502384,-3,"H: Landing site. Mars24 programme. Altitude data, where not provided, are estimated from MOLA imagery"
H Mars 6,HMars6,,-19.42,-23.9,2,"H: Crash site. Mars24 programme.  Altitude data, where not provided, are estimated from MOLA imagery"
H Perseverance,HPerseverance,,-77.42980,18.670633,-2.64,"H: Planned landing sites. Mars24 programme. Altitude data, where not provided, are estimated from MOLA imagery"
H Polar Lander,HPolarLander,,-165,-76.1,0,"H: Crash site. Mars24 programme. Altitude data, where not provided, are estimated from MOLA imagery"
SpX Deuteronilus Mensae,SpXDeuteronilusMensae,,-22.6,43.6,-3.5,SpaceX proposed landing sites. Altitude estimated from MOLA imagery
SpX Utopia Planitia,SpXUtopiaPlanitia,,-118,49.7,-5,SpaceX proposed landing sites. Altitude estimated from MOLA imagery
SpX Arcadia Planitia 1,SpXArcadiaPlanitia1,,-189.790,39.09,-4,HiRise imagery ESP_060706_2195. Altitude estimated from MOLA imagery
SpX Arcadia Planitia 2,SpXArcadiaPlanitia2,,-192.058,39.822,-4,HiRise imagery ESP_060429_2200. Altitude estimated from MOLA imagery
SpX Arcadia Planitia 3,SpXArcadiaPlanitia3,,-195.615,39.809,-4,HiRise imagery ESP_060719_2200. Altitude estimated from MOLA imagery
SpX Arcadia Planitia 4,SpXArcadiaPlanitia4,,-196.705,39.095,-4,HiRise imagery ESP_060732_2195. Altitude estimated from MOLA imagery
SpX Arcadia Planitia 5,SpXArcadiaPlanitia5,,-203.331,40.024,-4,HiRise imagery ESP_060811_2205. Altitude estimated from MOLA imagery
SpX Phlegra Montes 1,SpXPhlegraMontes1,,-163.619,35.493,-3,HiRise imagery ESP_060707_2160. Altitude estimated from MOLA imagery
